side,b,kv,truth,model,ape,stratum
old,4,385,7.611067965626717,7.19234343705466,0.05501521343169053,B
new,4,389,7.615718990564346,7.19563272286905,0.0551604212571093,B
old,4,389,7.615718990564346,7.19563272286905,0.0551604212571093,B
new,4,393,7.615718990564346,7.198922008683439,0.05472851380116654,B
old,4,393,7.615718990564346,7.198922008683439,0.05472851380116654,B
new,4,397,7.616892457008362,7.202211294497829,0.05444230240233752,B
old,4,397,7.616892457008362,7.202211294497829,0.05444230240233752,B
new,4,401,7.618112489581108,7.2055005803122185,0.05416196070000242,B
old,4,401,7.618112489581108,7.2055005803122185,0.05416196070000242,B
new,4,405,7.6197125017642975,7.208789866126608,0.05392888977668682,B
old,4,405,7.6197125017642975,7.208789866126608,0.05392888977668682,B
new,4,409,7.622884586453438,7.212079151940998,0.05389107362880436,B
old,4,409,7.622884586453438,7.212079151940998,0.05389107362880436,B
new,4,413,7.623234763741493,7.215368437755387,0.053503052001762655,B
old,4,413,7.623234763741493,7.215368437755387,0.053503052001762655,B
new,4,417,7.6303500682115555,7.218657723569777,0.05395458150169424,B
old,4,417,7.6303500682115555,7.218657723569777,0.05395458150169424,B
new,4,421,7.644865661859512,7.2219470093841664,0.05532061270681329,B
old,4,421,7.644865661859512,7.2219470093841664,0.05532061270681329,B
new,4,425,7.653556764125824,7.225236295198556,0.05596358426907022,B
old,4,425,7.653556764125824,7.225236295198556,0.05596358426907022,B
new,4,429,7.656646892428398,7.228525581012946,0.0559149869950015,B
old,4,429,7.656646892428398,7.228525581012946,0.0559149869950015,B
new,4,433,7.658723741769791,7.231814866827335,0.05574151638531417,B
old,4,433,7.658723741769791,7.231814866827335,0.05574151638531417,B
new,4,437,7.660076022148132,7.235104152641725,0.05547880572955877,B
old,4,437,7.660076022148132,7.235104152641725,0.05547880572955877,B
new,4,441,7.660076022148132,7.238393438456114,0.05504939931049987,B
old,4,441,7.660076022148132,7.238393438456114,0.05504939931049987,B
new,4,445,7.661923766136169,7.241682724270504,0.05484798004947898,B
old,4,445,7.661923766136169,7.241682724270504,0.05484798004947898,B
new,4,449,7.66218826174736,7.2449720100848936,0.05445131826705085,B
old,4,449,7.66218826174736,7.2449720100848936,0.05445131826705085,B
new,4,453,7.66218826174736,7.248261295899283,0.054022030222692696,B
old,4,453,7.66218826174736,7.248261295899283,0.054022030222692696,B
new,4,457,7.66218826174736,7.251550581713673,0.05359274217833453,B
old,4,457,7.66218826174736,7.251550581713673,0.05359274217833453,B
new,4,461,7.663218304514885,7.254839867528062,0.05329072209077238,B
old,4,461,7.663218304514885,7.254839867528062,0.05329072209077238,B
new,4,465,7.673420011997223,7.258129153342452,0.05412069950627919,B
old,4,465,7.673420011997223,7.258129153342452,0.05412069950627919,B
new,4,469,7.673420011997223,7.2614184391568415,0.053692039820083616,B
old,4,469,7.673420011997223,7.2614184391568415,0.053692039820083616,B
new,4,473,7.663218304514885,7.264707724971231,0.05200303106448973,B
old,4,473,7.663218304514885,7.264707724971231,0.05200303106448973,B
new,4,477,7.663218304514885,7.267997010785621,0.051573800722395514,B
old,4,477,7.663218304514885,7.267997010785621,0.051573800722395514,B
new,4,481,7.66218826174736,7.27128629660001,0.05101701391218556,B
old,4,481,7.66218826174736,7.27128629660001,0.05101701391218556,B
new,4,485,7.663218304514885,7.2745755824144,0.05071534003820708,B
old,4,485,7.663218304514885,7.2745755824144,0.05071534003820708,B
new,4,489,7.663218304514885,7.277864868228789,0.050286109696112864,B
old,4,489,7.663218304514885,7.277864868228789,0.050286109696112864,B
new,4,493,7.663218304514885,7.281154154043179,0.04985687935401865,B
old,4,493,7.663218304514885,7.281154154043179,0.04985687935401865,B
new,4,497,7.673420011997223,7.284443439857569,0.05069142201671458,B
old,4,497,7.673420011997223,7.284443439857569,0.05069142201671458,B
new,4,501,7.673420011997223,7.287732725671958,0.050262762330519004,B
old,4,501,7.673420011997223,7.287732725671958,0.050262762330519004,B
new,4,505,7.673420011997223,7.291022011486348,0.04983410264432343,B
old,4,505,7.673420011997223,7.291022011486348,0.04983410264432343,B
new,4,509,7.663218304514885,7.294311297300737,0.04813995798564178,B
old,4,509,7.663218304514885,7.294311297300737,0.04813995798564178,B
new,4,513,7.663218304514885,7.296761690668063,0.047820197635622494,B
old,4,513,7.663218304514885,7.296761690668063,0.047820197635622494,B
new,4,517,7.663218304514885,7.296695406694198,0.047828847261828,B
old,4,517,7.663218304514885,7.296695406694198,0.047828847261828,B
new,4,521,7.66284205019474,7.296629122720333,0.04779074461871502,B
old,4,521,7.66284205019474,7.296629122720333,0.04779074461871502,B
new,4,525,7.663218304514885,7.296562838746468,0.047846146514239,B
old,4,525,7.663218304514885,7.296562838746468,0.047846146514239,B
new,4,529,7.663218304514885,7.296496554772602,0.0478547961404445,B
old,4,529,7.663218304514885,7.296496554772602,0.0478547961404445,B
new,4,533,7.663218304514885,7.296430270798737,0.04786344576665,B
old,4,533,7.663218304514885,7.296430270798737,0.04786344576665,B
new,4,537,7.673420011997223,7.296363986824872,0.04913793648501348,B
old,4,537,7.673420011997223,7.296363986824872,0.04913793648501348,B
new,4,541,7.676027715206146,7.296297702851007,0.04946959891805726,B
old,4,541,7.676027715206146,7.296297702851007,0.04946959891805726,B
new,4,545,7.676063105463982,7.2962314188771416,0.04948261646213773,B
old,4,545,7.676063105463982,7.2962314188771416,0.04948261646213773,B
new,4,549,7.676063105463982,7.296165134903276,0.04949125161442276,B
old,4,549,7.676063105463982,7.296165134903276,0.04949125161442276,B
new,4,553,7.676063105463982,7.296098850929411,0.049499886766707794,B
old,4,553,7.676063105463982,7.296098850929411,0.049499886766707794,B
new,4,557,7.676063105463982,7.296032566955546,0.04950852191899283,B
old,4,557,7.676063105463982,7.296032566955546,0.04950852191899283,B
new,4,561,7.676027715206146,7.295966282981681,0.04951277487854389,B
old,4,561,7.676027715206146,7.295966282981681,0.04951277487854389,B
new,4,565,7.676027715206146,7.2958999990078155,0.04952141007064122,B
old,4,565,7.676027715206146,7.2958999990078155,0.04952141007064122,B
new,4,569,7.676027715206146,7.29583371503395,0.04953004526273854,B
old,4,569,7.676027715206146,7.29583371503395,0.04953004526273854,B
