side,bp,tot,kv,truth,model,ape,stratum
new,1,8192,4096,623.081848025322,620.7876559346914,0.0036820075852013836,A
old,1,8192,4096,623.081848025322,652.8814639896154,0.04782616611081635,A
new,1,8192,65536,1883.7925409898162,1863.9219142496586,0.010548203322706024,A
old,1,8192,65536,1883.7925409898162,2076.597237959504,0.10234921987130335,A
new,1,8192,608,554.4818006455898,557.7097930367964,0.0058216381267125845,B
old,1,8192,608,554.4818006455898,583.3970739144764,0.05214828193679253,B
new,1,8192,2144,583.5734382271767,592.3542908353895,0.01504669683885543,B
old,1,8192,2144,583.5734382271767,614.3377159468855,0.05271706301980927,B
new,1,8192,8384,702.5875588878989,705.4583732511662,0.004086059206359149,B
old,1,8192,8384,702.5875588878989,753.002296659879,0.07175580770570401,B
new,1,181,0,40.293650701642036,40.9392597419875,0.016022599816679126,B
old,1,181,0,40.293650701642036,39.59237478141274,0.01740412963377184,B
new,1,362,256,48.2812225818634,51.57281160354614,0.0681753453136294,B
old,1,362,256,48.2812225818634,50.567176192998886,0.04734663889795926,B
new,1,362,4096,55.04345986992121,56.765516102313995,0.031285392242100224,B
old,1,362,4096,55.04345986992121,56.67576864361763,0.029654908640443338,B
new,1,362,2144,51.55555158853531,54.130613683972975,0.04994732897029651,B
old,1,362,2144,51.55555158853531,53.389321691374874,0.03556881938680201,B
new,1,724,4096,78.70433665812016,82.11284749690563,0.04330778942450827,B
old,1,724,4096,78.70433665812016,91.76430172256885,0.16593704513614316,B
new,1,724,2144,73.05962033569813,78.6683944100728,0.07676982235334913,B
old,1,724,2144,73.05962033569813,92.3455624481315,0.2639753946683179,B
new,1,1448,0,108.82982797920704,115.75414336496785,0.06362516154196036,B
old,1,1448,0,108.82982797920704,115.22943640668547,0.058803809087166176,B
new,1,1448,256,109.70289912074804,116.24111499517194,0.05959929889571468,B
old,1,1448,256,109.70289912074804,120.56999187916517,0.09905930331390707,B
new,1,1448,4096,126.26353651285172,133.0992388989656,0.05413837260465236,B
old,1,1448,4096,126.26353651285172,140.9983881899426,0.11669918397692831,B
new,1,1448,2144,116.88478477299213,126.33047121171356,0.08081194192269225,B
old,1,1448,2144,116.88478477299213,126.71418637149011,0.08409479144431126,B
new,1,2896,0,192.18797609210014,203.39159558299232,0.058295111477334,B
old,1,2896,0,192.18797609210014,204.7440890908882,0.06533245863815602,B
new,1,2896,256,194.5094596594572,202.96665247389615,0.0434795964640774,B
