side,bp,tot,kv,truth,model,ape,stratum
old,1,8192,608,203.10032926499844,200.30798668004914,0.013748587188679254,B
new,1,8192,2144,210.89778002351522,209.16354500574008,0.008223107031196726,B
old,1,8192,2144,210.89778002351522,209.16354500574008,0.008223107031196726,B
new,1,8192,8384,241.62283446639776,240.16377583930537,0.00603857921919751,B
old,1,8192,8384,241.62283446639776,240.16377583930537,0.00603857921919751,B
new,1,181,0,26.135130785405636,24.74738098680973,0.05309901871127623,B
old,1,181,0,26.135130785405636,24.74738098680973,0.05309901871127623,B
new,1,181,256,25.94822272658348,20.90973353811673,0.19417473179405506,B
old,1,181,256,25.94822272658348,20.90973353811673,0.19417473179405506,B
new,1,181,4096,27.05022506415844,22.849625774792262,0.15528888500569163,B
old,1,181,4096,27.05022506415844,22.849625774792262,0.15528888500569163,B
new,1,181,2144,26.17955394089222,21.911546663260406,0.1630282657706106,B
old,1,181,2144,26.17955394089222,21.911546663260406,0.1630282657706106,B
new,1,362,0,31.099040992558002,29.07569669187069,0.06506130851981896,B
old,1,362,0,31.099040992558002,29.07569669187069,0.06506130851981896,B
new,1,362,256,30.46884573996067,26.998718827962875,0.11389098693182968,B
old,1,362,256,30.46884573996067,26.998718827962875,0.11389098693182968,B
new,1,362,4096,32.285197637975216,28.1854297965765,0.12698599176535302,B
old,1,362,4096,32.285197637975216,28.1854297965765,0.12698599176535302,B
new,1,362,2144,31.34357463568449,27.656074061629134,0.11764773536255041,B
old,1,362,2144,31.34357463568449,27.656074061629134,0.11764773536255041,B
new,1,724,0,38.16406335681677,36.20814580109812,0.05125024391222975,B
old,1,724,0,38.16406335681677,36.20814580109812,0.05125024391222975,B
new,1,724,256,38.604507222771645,36.35246697212419,0.058336199906705265,B
old,1,724,256,38.604507222771645,36.35246697212419,0.058336199906705265,B
new,1,724,4096,42.27786138653755,38.88832387183943,0.08017287070668723,B
old,1,724,4096,42.27786138653755,38.88832387183943,0.08017287070668723,B
new,1,724,2144,40.89266620576382,37.52952511755656,0.08224313551199121,B
old,1,724,2144,40.89266620576382,37.52952511755656,0.08224313551199121,B
new,1,1448,0,51.49505194276571,50.68618954429704,0.01570757515436023,B
old,1,1448,0,51.49505194276571,50.68618954429704,0.01570757515436023,B
new,1,1448,256,51.4246616512537,50.62497653547795,0.015550615018120514,B
old,1,1448,256,51.4246616512537,50.62497653547795,0.015550615018120514,B
new,1,1448,4096,58.09916742146015,55.61889299461919,0.04269036092804356,B
old,1,1448,4096,58.09916742146015,55.61889299461919,0.04269036092804356,B
new,1,1448,2144,54.42338343709707,51.95628740532607,0.04533154456709746,B
old,1,1448,2144,54.42338343709707,51.95628740532607,0.04533154456709746,B
new,1,2896,0,101.31301358342171,103.43651718932736,0.020959830635747,B
old,1,2896,0,101.31301358342171,103.43651718932736,0.020959830635747,B
new,1,2896,256,101.53969470411539,104.69348198162328,0.03105964900424371,B
old,1,2896,256,101.53969470411539,104.69348198162328,0.03105964900424371,B
new,1,2896,4096,100.3666976466775,110.90328038543186,0.10498086502603149,B
old,1,2896,4096,100.3666976466775,110.90328038543186,0.10498086502603149,B
new,1,2896,2144,100.80587677657604,107.07646831341968,0.06220462275965956,B
old,1,2896,2144,100.80587677657604,107.07646831341968,0.06220462275965956,B
new,1,5792,0,148.08391127735376,147.26262768090237,0.005546069045361526,B
old,1,5792,0,148.08391127735376,147.26262768090237,0.005546069045361526,B
new,1,5792,256,148.94691202789545,146.38044926687144,0.017230721510650415,B
old,1,5792,256,148.94691202789545,146.38044926687144,0.017230721510650415,B
new,1,5792,4096,164.96346797794104,160.4826509137638,0.027162480997164905,B
old,1,5792,4096,164.96346797794104,160.4826509137638,0.027162480997164905,B
new,1,5792,2144,156.8713402375579,152.80404268036548,0.02592760124974452,B
old,1,5792,2144,156.8713402375579,152.80404268036548,0.02592760124974452,B
new,2,2048,0,60.81916019320488,59.08809415996075,0.028462511283369202,A
old,2,2048,0,60.81916019320488,59.08809415996075,0.028462511283369202,A
new,2,2048,2048,63.15928511321545,61.54703162610531,0.025526784925131937,A
old,2,2048,2048,63.15928511321545,61.54703162610531,0.025526784925131937,A
new,2,2048,1216,62.453990802168846,60.53239661436163,0.030768156896396195,B
old,2,2048,1216,62.453990802168846,60.53239661436163,0.030768156896396195,B
new,2,8192,0,190.07942453026772,188.85552696883678,0.006438874509723913,A
old,2,8192,0,190.07942453026772,188.85552696883678,0.006438874509723913,A
new,2,8192,2048,195.20155806094408,194.22913901507854,0.004981615185478877,A
old,2,8192,2048,195.20155806094408,194.22913901507854,0.004981615185478877,A
new,2,8192,1216,193.21132078766823,191.75949986639034,0.007514160740474315,B
old,2,8192,1216,193.21132078766823,191.75949986639034,0.007514160740474315,B
new,4,8192,4096,190.82154240459204,190.24965353310108,0.0029969827530185243,A
old,4,8192,4096,190.82154240459204,190.24965353310108,0.0029969827530185243,A
new,6,1014,0,43.1404709815979,41.05615723998316,0.04831458011906807,C
old,6,1014,0,43.1404709815979,41.05615723998316,0.04831458011906807,C
