tp,config,group,kind,b,tokens,kv,probe_med_ms,n_reps,spread,reference_ms,delta
4,decode,B,decode,52,0,16380,16.865737736225128,3,0.004174726916027479,16.536613636586722,0.019902750760907285
4,decode,B,decode,60,0,16380,16.390638425946236,3,0.02253758299897371,17.07166918369684,-0.03989245283647941
4,decode,B,decode,64,0,768,14.191767200827599,3,0.015140933755445327,15.090571716427803,-0.05956066691772543
4,decode,A,decode,64,0,2048,16.234800219535828,3,0.016415572662297075,15.445414930582047,0.05110806621263323
4,decode,B,decode,64,0,6144,14.831041917204857,3,0.013004318445987399,16.535446047782898,-0.10307578795593304
4,decode,A,decode,64,0,32768,16.35102741420269,3,0.0150826045456394,17.069833353161812,-0.04210972210961735
4,decode,B,decode,64,0,49152,16.36701449751854,3,0.010987741627550052,17.26718805730343,-0.0521320296505456
4,decode,B,decode,64,0,196608,18.865471705794334,3,0.0045498154037938955,19.188623875379562,-0.01684082046132846
4,decode,A,decode,64,0,524288,22.130360826849937,3,0.013711470786448481,22.312186658382416,-0.008149171316840368
4,decode,B,decode,64,0,1572864,33.47776271402836,3,0.00931423760783881,33.504451625049114,-0.000796578058325903
4,decode,B,decode,64,0,2236352,40.07788188755512,3,0.010590264311138783,40.28605532934374,-0.005167382114897371
4,decode,B,decode,100,0,32700,22.22541905939579,3,0.010322756585740696,21.982552002764233,0.011048173869940897
4,decode,B,decode,100,0,1258200,38.04126754403114,3,0.015594971417379703,37.99611932031541,0.0011882324964590683
4,decode,B,decode,150,0,32700,24.373335763812065,3,0.003233925612145199,24.60160731294028,-0.009278725012741212
4,decode,B,decode,256,0,3072,24.350719526410103,3,0.012964851050542894,25.273253209888935,-0.03650237172940849
4,decode,A,decode,256,0,4096,20.879309624433517,3,0.008218212169077392,24.72221478819847,-0.155443401680962
4,decode,B,decode,256,0,12288,25.361759588122368,3,0.008562946318046185,26.671653613448143,-0.04911184151946665
4,decode,A,decode,256,0,65536,25.94626136124134,3,0.003778663473319381,27.425844222307205,-0.05394848920867218
4,decode,B,decode,256,0,98304,26.687894016504288,3,0.01670810780101611,27.799930423498154,-0.04000140971769867
4,decode,B,decode,256,0,393216,30.07519245147705,3,0.004885518195402891,30.548416078090668,-0.015490938234045236
4,decode,A,decode,256,0,524288,30.969487503170967,3,0.008357863779504874,32.25713409483433,-0.0399181957044834
4,decode,B,decode,256,0,1572864,43.548135086894035,3,0.007709072052038931,42.92413592338562,0.01453725625653078
4,decode,B,decode,256,0,2236160,50.204798579216,3,0.005800249437030358,49.98609204524479,0.004375347722187468
4,decode,B,decode,300,0,65400,28.253529220819473,3,0.011726935653088395,29.731564256934575,-0.04971265633191049
4,decode,B,decode,300,0,629100,34.40578281879425,3,0.03383640841895369,35.60399423475019,-0.03365384816253175
4,decode,B,decode,600,0,65400,87.49361895024776,3,0.06290796633514062,44.36719812754142,0.972033904388818
4,decode,B,decode,768,0,65280,86.90227568149567,3,0.04521627380243841,57.702547478253294,0.5060388055526847
4,prefill,A,prefill,1,184,32768,30.64334485679865,2,0.01636620760980725,29.429404065012932,0.04124924817043466
4,prefill,A,prefill,1,512,2048,32.525910064578056,2,0.009473139575935813,31.05509839951992,0.047361359031497165
4,prefill,A,prefill,1,1024,0,42.1614246442914,2,0.002967982339928543,41.757404804229736,0.00967540588204227
4,prefill,A,prefill,1,1312,128,47.84729424864054,2,0.012334678218418726,47.3072100430727,0.01141653048395997
4,prefill,A,prefill,1,2048,0,61.46229524165392,2,0.0015510048187703494,61.3386370241642,0.002015992260163925
4,prefill,B,prefill,1,2048,384,62.35959567129612,2,0.0022909847539594385,62.12699394687158,0.003743971978162213
4,prefill,B,prefill,1,2048,6144,73.07307701557875,2,0.002461407277359393,72.51672305535763,0.00767207806393028
4,prefill,B,prefill,1,2048,98304,240.0449374690652,2,0.006620347499940144,247.82231150596343,-0.03138286455984044
4,prefill,A,prefill,1,2049,0,104.5939726755023,2,0.08999514660374054,104.55841943621635,0.0003400322946506894
